"V1","V2"
"Harriet Beadle","John Baptist Cavalletto"
"Henry Gowan","John Baptist Cavalletto"
"John Baptist Cavalletto","Minnie Meagles"
"John Baptist Cavalletto","Mr Meagles"
"John Baptist Cavalletto","Mrs Meagles"
"Amy Dorrit","Miss Wade"
"Flora Finching","Harriet Beadle"
"Flora Finching","Miss Wade"
"Flora Finching","Mr Meagles"
"Harriet Beadle","Mr F.'s Aunt"
"Harriet Beadle","Mr Pancks"
"Miss Wade","Mr F.'s Aunt"
"Miss Wade","Mr Pancks"
"Mr F.'s Aunt","Mr Meagles"
"Christopher Casby","Miss Wade"
"Affery Flintwinch","Harriet Beadle"
"Affery Flintwinch","Miss Wade"
"Mr Pancks","Mrs General"
"Mr Merdle","Mr Tite Barnacle"
"Mr Sparkler","Mr Tite Barnacle"
"Mr Tite Barnacle","Mrs Merdle"
"Ferdinand Barnacle","Mr Merdle"
"Ferdinand Barnacle","Physician"
"Mr Tite Barnacle","Physician"
"Ferdinand Barnacle","Mr Sparkler"
"Ferdinand Barnacle","Mrs Merdle"
"Maggy","Mr Merdle"
"Mr Merdle","Mr Pancks"
"Mr Merdle","Mr Plornish"
"Mr Merdle","Mrs Plornish"
"John Edward Nandy","Mr Merdle"
"John Edward Nandy","Mr Pancks"
"Daniel Doyce","John Baptist Cavalletto"
"Daniel Doyce","John Edward Nandy"
"Daniel Doyce","Maggy"
"John Baptist Cavalletto","John Edward Nandy"
"John Baptist Cavalletto","Maggy"
"John Baptist Cavalletto","Mr William Dorrit"
"John Baptist Cavalletto","Mrs Plornish"
"John Edward Nandy","Mr Rugg"
"Maggy","Mr Rugg"
"Mr Plornish","Mr Rugg"
"Mr Rugg","Mrs Plornish"
"John Baptist Cavalletto","Mr Merdle"
"Daniel Doyce","Mr Merdle"
"Minnie Meagles","Mrs Merdle"
"Mr Merdle","Tinkler"
"Mr Sparkler","Tinkler"
"Mrs Merdle","Tinkler"
"Fanny Dorrit","Treasury"
"Mr William Dorrit","Treasury"
"Mr F.'s Aunt","Mr William Dorrit"
"Daniel Doyce","Jeremiah Flintwinch"
"Daniel Doyce","Mrs Clennam"
"Daniel Doyce","Rigaud"
"Flora Finching","Jeremiah Flintwinch"
"Flora Finching","Rigaud"
"Jeremiah Flintwinch","Mr F.'s Aunt"
"Jeremiah Flintwinch","Mr William Dorrit"
"Mr F.'s Aunt","Mrs Clennam"
"Mr F.'s Aunt","Rigaud"
"Mr Pancks","Rigaud"
"Mr William Dorrit","Mrs Clennam"
"Flora Finching","Henry Gowan"
"Flora Finching","Mr Merdle"
"Henry Gowan","Jeremiah Flintwinch"
"Jeremiah Flintwinch","Mr Merdle"
"Mr Merdle","Mrs Clennam"
"Mr Merdle","Rigaud"
"Affery Flintwinch","Henry Gowan"
"Mr John Chivery","Mr Merdle"
"Mr John Chivery","Mr Sparkler"
"Mr John Chivery","Mrs General"
"Mr Frederick Dorrit","Mrs Merdle"
"Mr Frederick Dorrit","Tinkler"
"Bob","Mrs Merdle"
"Mrs Bangham","Mrs Merdle"
"Bob","Mr Frederick Dorrit"
"Bob","Mrs General"
"Mr Frederick Dorrit","Mrs Bangham"
"Mrs Bangham","Mrs General"
"Christopher Casby","Rigaud"
"Miss Wade","Rigaud"
"Henry Gowan","Miss Wade"
"Harriet Beadle","Rigaud"
"Mrs Meagles","Rigaud"
"Dawes","Miss Wade"
"Affery Flintwinch","John Baptist Cavalletto"
"Jeremiah Flintwinch","John Baptist Cavalletto"
"Affery Flintwinch","Mr F.'s Aunt"
"Christopher Casby","John Baptist Cavalletto"
"Flora Finching","John Baptist Cavalletto"
"John Baptist Cavalletto","Mr F.'s Aunt"
"John Baptist Cavalletto","Mrs Clennam"
"Affery Flintwinch","Daniel Doyce"
"Arthur Clennam","John Chivery"
"John Chivery","Mr John Chivery"
"John Chivery","Mr Rugg"
"Amy Dorrit","John Chivery"
