"source" "target" "tag"
"751" 178 179 "Herbert Pocket"
"752" 172 179 "John Wemmick"
"753" 177 179 "Miss Havisham"
"754" 177 179 "Mr Jaggers"
"755" 177 179 "Pip"
"756" 179 180 "Abel Magwitch"
"757" 179 180 "Estella"
"758" 179 180 "John Wemmick"
"759" 179 180 "Miss Havisham"
"760" 179 180 "Mr Jaggers"
"761" 179 180 "Pip"
"762" 180 181 "John Wemmick"
"763" 72 181 "Mike"
"764" 180 181 "Mr Jaggers"
"765" 180 181 "Pip"
"766" 180 182 "Abel Magwitch"
"767" 165 182 "Clara Barley"
"768" 179 182 "Herbert Pocket"
"769" 181 182 "John Wemmick"
"770" 161 182 "Mr Clarriker"
"771" 177 182 "Old Barley"
"772" 130 182 "Skiffins"
"773" 118 182 "Startop"
"774" 182 183 "Abel Magwitch"
"775" 182 183 "Herbert Pocket"
"776" 155 183 "Joe Gargery"
"777" 182 183 "John Wemmick"
"778" 180 183 "Miss Havisham"
"779" 122 183 "Uncle Pumblechook"
"780" 156 185 "Orlick Dolge"
"781" 142 186 "Biddy"
"782" 180 186 "Estella"
"783" 183 186 "Herbert Pocket"
"784" 183 186 "Miss Havisham"
"785" 185 186 "Orlick Dolge"
"786" 183 187 "Abel Magwitch"
"787" 182 187 "Clara Barley"
"788" 123 187 "Mrs Joe Gargery"
"789" 182 187 "Old Barley"
"790" 186 187 "Orlick Dolge"
"791" 187 188 "Abel Magwitch"
"792" 186 188 "Biddy"
"793" 178 188 "Compeyson"
"794" 186 188 "Herbert Pocket"
"795" 183 188 "Joe Gargery"
"796" 187 188 "Orlick Dolge"
"797" 181 188 "Pip"
"798" 182 188 "Startop"
"799" 105 188 "Trabb's Boy"
